ID,Language_ID,Parameter_ID,Value,Code_ID,Comment,Source,codeReference,status,Name,Macroarea,Latitude,Longitude,Glottocode,ISO639P3code,Countries,Family_ID,Language_ID.y
sulo1237-aes,sulo1237,aes,2,aes-threatened,Sulod (srg-srg) = 6b* (Threatened).,hh:h:Ethnologue:25,NA,threatened,Sulod,Papunesia,11.2473,122.551,sulo1237,srg,PH,aust1307,NA
kina1250-aes,kina1250,aes,1,aes-not_endangered,Kinaray-a (krj-krj) = 4 (Educational).,hh:h:Ethnologue:25,NA,not_endangered,Kinaray-a,Papunesia,10.8131,122.297,kina1250,krj,PH,aust1307,NA
akla1241-aes,akla1241,aes,1,aes-not_endangered,Aklanon (akl-akl) = 4 (Educational). De facto language of provincial identity in Aklan and Capiz provinces.,hh:h:Ethnologue:23,NA,not_endangered,Kailibo Aklanon,Papunesia,11.5543,122.354,akla1241,NA,PH,aust1307,akla1240
mala1491-aes,mala1491,aes,1,aes-not_endangered,Malaynon (mlz-mlz) = 6a* (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Malay Aklanon,Papunesia,11.8564,121.919,mala1491,mlz,PH,aust1307,akla1240
karo1299-aes,karo1299,aes,1,aes-not_endangered,"Binukidnon, Northern (kyn-kyn) = 6a* (Vigorous).",hh:h:Ethnologue:25,NA,not_endangered,Northern Binukidnon,Papunesia,9.992,122.816,karo1299,kyn,PH,aust1307,NA
maga1264-aes,maga1264,aes,1,aes-not_endangered,"Binukidnon, Southern (mtw-mtw) = 6a* (Vigorous).",hh:h:Ethnologue:25,NA,not_endangered,Southern Binukidnon,Papunesia,9.49196,122.769,maga1264,mtw,PH,aust1307,NA
suri1273-aes,suri1273,aes,1,aes-not_endangered,Surigaonon (sgd-sgd) = 4 (Educational).,hh:h:Ethnologue:25,NA,not_endangered,Surigaonon,Papunesia,9,126,suri1273,sgd,PH,aust1307,NA
tand1258-aes,tand1258,aes,1,aes-not_endangered,Tandaganon (tgn-tgn) = 6a* (Vigorous).,hh:h:Ethnologue:25,NA,not_endangered,Tandaganon,Papunesia,8.9815,126.186,tand1258,tgn,PH,aust1307,NA
butu1244-aes,butu1244,aes,3,aes-shifting,Butuanon (btw-btw) = 7 (Shifting).,hh:h:Ethnologue:25,NA,shifting,Butuanon,Papunesia,8.87009,125.418,butu1244,btw,PH,aust1307,NA
taus1251-aes,taus1251,aes,1,aes-not_endangered,Tausug (tsg-tsg) = 3 (Wider communication). De facto language of provincial identity in Sulu and Tawi-Tawi provinces.,hh:h:Ethnologue:25,NA,not_endangered,Tausug,Papunesia,5.12236,118.88,taus1251,tsg,ID;MY;PH,aust1307,NA
